Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
550;RAKO;CR 1,7;NIE;1968;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;250,00
551;SZAJNA;NIE DOTYCZY;NIE;1551;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;198,00
552;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1728;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;297,00
553;SZAJNA;CR 1,5/60;NIE;2004;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;70,00
554;SZAJNA;NIE DOTYCZY;NIE;1474;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;70,00
555;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1727;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;210,00
556;SZAJNA;CR 1,67;NIE;2014;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;350,00
557;JZO;IZOKORN 16;NIE;2183;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;89,00
558;RAKO;CR 1,61;NIE;1965;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;140,00
559;JZO;IZOKORN 15;NIE;2182;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;79,00
560;JZO;NIE DOTYCZY;NIE;1473;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
561;RAKO;CR/60;NIE;1961;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;69,00
562;RAKO;CR 1,67;NIE;1966;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;180,00
563;SZAJNA;CR 1,5;NIE;2003;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
564;RAKO;CR 1,74;NIE;1969;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;350,00
565;SZAJNA;NIE DOTYCZY;NIE;1475;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;98,00
566;SZAJNA;OPTIPLAST 1,5;NIE;1725;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;99,00
567;UNIVERCE OPTICAL;IN. 1,49 HC;NIE;1713;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
568;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1714;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;59,00
569;RAKO;CR 1,56 A;NIE;1963;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;95,00
570;JZO;IZOKORN 1,7;NIE;2184;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;149,00
571;JZO;IZOPLAST 150 TOPAZ;NIE;1717;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;129,00
572;SZAJNA;NIE DOTYCZY;NIE;1478;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;560,00
573;SZAJNA;CR 1,5;NIE;2005;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;99,00
574;SZAJNA;CR 1,67;NIE;2012;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;250,00
575;JZO;IZOKORN 1,7;NIE;1721;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;149,00
576;JZO;NIE DOTYCZY;NIE;1422;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
577;SZAJNA;OPTIGAS 1,52;NIE;1722;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
578;JZO;IZOPLAST 160;NIE;2181;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;239,00
579;SZAJNA;OPTIPLAST 1,56 ASF;NIE;1726;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;146,00
580;JZO;IZOPLAST 150 VTR;NIE;2372;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;100,00
581;SZAJNA;CR 1,5 K;NIE;2006;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;110,00
582;SZAJNA;CR 1,56 A;NIE;2009;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;140,00
583;JZO;IZOKORN 16;NIE;2374;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;100,00
584;SZAJNA;CR 1,6;NIE;2010;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;199,00
585;JZO;IZOKORN 15;NIE;1719;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;79,00
586;RAKO;CR 1,56 A;NIE;2375;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;100,00
587;UNIVERCE OPTICAL;IN. 1,66 S.C.;NIE;1715;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;79,00
588;RAKO;CR 1,56;NIE;1962;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;89,00
589;JZO;IZOPLAST 150 VTR;NIE;2179;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
590;JZO;IZOPLAST 150 V;NIE;2274;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
591;SZAJNA;OPTIGAS 1,7;NIE;1724;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;98,00
592;JZO;IZOPLAST 150 VTR;NIE;1716;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
593;JZO;IZOPLAST 160;NIE;1718;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;239,00
594;RAKO;CR;NIE;1959;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;50,00
595;SZAJNA;CR 1,67 A;NIE;2013;SOCZEWKA OKULAROWA;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;280,00
596;SZAJNA;NIE DOTYCZY;NIE;1477;SZKŁO OKULAROWE;O.01.01.00.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DOROŚLI                                                                                                                                                                                             ;370,00
597;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1823;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;210,00
598;JZO;IZOKORN 1,7;NIE;2218;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;149,00
599;JZO;IZOKORN 16;NIE;2361;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
600;JZO;IZOPLAST 150 VTR;NIE;2213;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
601;UNIVERCE OPTICAL;IN. 1,66 S.C.;NIE;1811;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;79,00
602;JZO;IZOPLAST 150 TOPAZ;NIE;2214;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;129,00
603;SZAJNA;OPTIGAS 1,6;NIE;2244;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;85,00
604;SZAJNA;OPTIGAS 1,6;NIE;1819;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;85,00
605;SZAJNA;NIE DOTYCZY;NIE;1514;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;120,00
606;JZO;IZOPLAST 150 VTR;NIE;1812;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
607;SZAJNA;OPTIPLAST 1,5;NIE;1821;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;99,00
608;SZAJNA;OPTIPLAST 1,67 ASF;NIE;2249;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;297,00
609;SZAJNA;OPTIGAS 1,7;NIE;1820;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;98,00
610;JZO;NIE DOTYCZY;NIE;1429;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
611;JZO;IZOKORN 16;NIE;2217;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;89,00
612;SZAJNA;OPTIGAS 1,7;NIE;2245;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;98,00
613;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1824;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;297,00
614;SZAJNA;NIE DOTYCZY;NIE;1516;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;250,00
615;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1810;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;59,00
616;JZO;IZOKORN 16;NIE;1816;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;89,00
617;SZAJNA;OPTIGAS 1,52;NIE;2362;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
618;SZAJNA;OPTIGAS 1,6;NIE;2363;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
619;SZAJNA;OPTIPLAST 1,5;NIE;2246;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;99,00
620;SZAJNA;NIE DOTYCZY;NIE;1517;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;350,00
621;JZO;IZOPLAST 150 TOPAZ;NIE;1813;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;129,00
622;JZO;NIE DOTYCZY;NIE;1513;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
623;JZO;IZOKORN 1,7;NIE;1817;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;149,00
624;JZO;IZOPLAST 160;NIE;2215;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;239,00
625;SZAJNA;OPTIPLAST 1,56 ASF;NIE;1822;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;146,00
626;SZAJNA;OPTIGAS 1,52;NIE;2243;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
627;SZAJNA;OPTIPLAST 1,5;NIE;2357;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
628;SZAJNA;NIE DOTYCZY;NIE;1515;SZKŁO OKULAROWE;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;190,00
629;SZAJNA;OPTIGAS 1,52;NIE;1818;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
630;JZO;IZOPLAST 150 VTR;NIE;2368;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
631;UNIVERCE OPTICAL;IN. 1,49 HC;NIE;1809;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;50,00
632;JZO;IZOKORN 15;NIE;1815;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;79,00
633;JZO;IZOKORN 15;NIE;2216;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;79,00
634;JZO;IZOPLAST 160;NIE;1814;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;239,00
635;JZO;IZOKORN 15;NIE;2360;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
636;SZAJNA;OPTIGAS 1,7;NIE;2364;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;100,00
637;SZAJNA;OPTIPLAST 1,56 ASF;NIE;2247;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;146,00
638;SZAJNA;OPTIPLAST 1,6 ASF;NIE;2248;SOCZEWKA OKULAROWA;O.01.02.00.D2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                    ;210,00
639;JZO;NIE DOTYCZY;NIE;2285;SZKŁO OKULAROWE;O.01.02.01.D.PR ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                           ;25,00
640;RAKO;CR;NIE;2298;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
641;RAKO;CR 1,7;NIE;2086;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;280,00
642;SZAJNA;CR 1,5 K;NIE;2125;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;110,00
643;RAKO;CR 1,56 SC;NIE;2082;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;120,00
644;JZO;IZOPLAST 150 M;NIE;2172;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;50,00
645;RAKO;CR 1,56 A;NIE;2081;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;95,00
646;SZAJNA;NIE DOTYCZY;NIE;1521;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;290,00
647;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1709;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;280,00
648;RAKO;CR/60;NIE;2293;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
649;RAKO;CR/60;NIE;2078;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;59,00
650;SZAJNA;CR 1,6 A;NIE;2130;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;220,00
651;SZAJNA;CR 1,56 A;NIE;2127;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;140,00
